ingreso,ingreso_scit,tipo
25/11/2025,25/8/2025,Constitucion de Estado Parcelario       
26/11/2025,16/9/2025,Modificatoria de PH                     
27/11/2025,4/11/2025,Modificacion de Estado Parcelario       
25/11/2025,14/11/2025,Modificacion de Estado Parcelario       
25/11/2025,13/11/2025,Restitucion Estado Parcelario (REP)     
4/12/2025,26/11/2025,Constitucion de Estado Parcelario       
"17/11/2025,17/5/2023,""Mensura, unión y subdivisión            """
5/12/2025,19/11/2025,Modificacion de Estado Parcelario       
5/12/2025,26/11/2025,Modificacion de Estado Parcelario       
5/12/2025,26/11/2025,Modificacion de Estado Parcelario       
4/12/2025,4/12/2025,Estado Preparatorio Usucapion Judicial  
8/10/2025,26/10/2023,Mensura y división                      
11/11/2025,29/10/2025,Constitucion de Estado Parcelario       
12/12/2025,4/12/2025,Estado Preparatorio Usucapion Judicial  
12/12/2025,2/12/2025,Mensura y división                      
19/12/2025,18/12/2025,Modificacion de Estado Parcelario       
"22/12/2025,11/11/2025,""Mensura, unión y subdivisión            """
29/12/2025,26/12/2025,Restitucion Estado Parcelario (REP)     
30/12/2025,10/9/2025,Constitucion de Estado Parcelario       
