presentacion_plano,ingreso,inmueble,superficie_en_m2,usos
2020-06-24,2019-11-7, 00833H02400000  ,"766,22",TEMPLO                   
2020-06-25,2019-10-3,50702600000,"327,24",COMERCIO                 
2020-06-25,2020-01-20,64900700000,"98,48",VIVIENDA                 
2020-06-25,2020-02-12,62500800000,"235,72",VIVIENDA INDIV.          
2020-06-26,2019-06-25, P1302500100000  ,"4980,7",REGULARIZACION           
2020-06-29,2020-03-5, 00143A00200000  ,"264,86",CONS. AMP VIVIENDA       
2020-06-29,2020-03-6,15300700000,"127,14",DEMOLICION PARCIAL       
2020-06-29,2020-05-20, 00103G02200000  ,"224,45",DEMOLICION PARCIAL       
2020-06-30,2020-02-28,31202700000,"127,33",REG AMP VIVIENDA         
2020-07-1,2020-01-2, 00794C03400000  ,"209,28",CONS VIVIENDA            
2020-07-1,2020-01-24,101401400000,"324,94",CAMBIO DE USOS           
2020-07-1,2020-03-12,70900900000,"350,02",SALA VELATORIA           
2020-07-2,2020-03-2,35801800000,"209,76",CONS VIVIENDA            
2020-07-2,2020-03-5,100800800000,"174,47",QUINCHO                  
2020-07-3,2020-02-12, 00239A00200000  ,"41,18",REG VIVIENDA             
2020-07-3,2020-03-19, 01261H01000000  ,"153,65",CONS VIVIENDA            
2020-07-3,2020-05-20,34702400000,"213,44",CONS VIVIENDA            
2020-07-6,2020-02-7, 01261I00500000  ,"272,61",CONFORME A OBRA          
2020-07-7,2019-09-17, 00931T01600000  ,"186,32",CONS VIVIENDA            
2020-07-7,2019-09-27,87900200000,"92,95",REG VIVIENDA             
2020-07-7,2020-02-3,126900400000,"256,17",CONS VIVIENDA            
2020-07-8,2017-07-27, 01261G01700000  ,"328,02",REG VIVIENDA             
2020-07-8,2020-01-6, 01048A00400000  ,"280,54",CONS. AMP VIVIENDA       
2020-07-8,2020-03-12,18401400000,"203,5",DEPOSITO FAMILIAR        
2020-07-8,2020-06-5,66301400000,"93,24",AMP VIVIENDA             
2020-07-14,2017-06-21,93201700000,"253,95",CONST GALPON             
2020-07-14,2020-02-4,83100100000,"157,21",CONS VIVIENDA            
2020-07-15,2018-08-9,7301100000,"122,56",REG VIVIENDA             
2020-07-15,2019-11-7, 00248A02600000  ,"138,68",REG VIVIENDA             
2020-07-15,2020-03-2,29601100000,"95,54",REG VIVIENDA             
2020-07-15,2020-05-29,17701300000,"283,76",CONS. AMP VIVIENDA       
2020-07-16,2019-09-20,57900500000,"333,22",CAMBIO DE USOS           
2020-07-16,2020-02-14, 00794C03500000  ,60,QUINCHO                  
2020-07-16,2020-05-19,11501100000,217,CONS. AMP VIVIENDA       
2020-07-17,2017-10-31, 00931S01300000  ,"442,09",VIVIENDAS COLECTIVAS     
2020-07-17,2017-12-26,70102600000,"247,94",REG AMP VIVIENDA         
2020-07-17,2020-02-19,62601800000,"82,37",VIVIENDA                 
2020-07-21,2020-01-24,82000200000,"38,8",REGULARIZACION           
2020-07-21,2020-01-28,82002400000,"47,94",REGULARIZACION           
2020-07-21,2020-01-28,82002300000,"2,15",REG DEPOSITO             
2020-07-21,2020-02-6,30103100000,"259,75",OFICINAS                 
2020-07-21,2020-05-19,49002200000,"145,45",REG AMP VIVIENDA         
2020-07-21,  /  /  ,89602700000,"293,7",CONS VIVIENDA            
2020-07-22,2020-01-21, 0142A400400000  ,"117,98",REG VIVIENDA             
2020-07-22,2020-06-4,60103100000,"275,81",REGULARIZACION           
2020-07-22,  /  /  ,74502100000,"499,96",DEMOLICION TOTAL         
2020-07-23,2020-03-4, 00953O01500000  ,"279,57",CENTRO REHABILITACION    
2020-07-23,2020-03-11,104403300000,"165,74",AMP VIVIENDA             
2020-07-23,2020-05-28,34701500000,"233,41",REFORMAS INTERNAS        
2020-07-24,2019-10-30, 00237A01100000  ,"341,03",REGULARIZACION           
2020-07-27,2018-11-20,29502600000,"488,74",REGULARIZACION           
2020-07-27,2020-05-19,35900800000,"156,09",REG AMP VIVIENDA         
2020-07-27,2020-06-4,19100900000,"68,64",CONS VIVIENDA            
2020-07-28,2020-03-19, 00953F02000000  ,"82,92",CONS VIVIENDA            
2020-07-28,2020-06-16,39303000000,"295,88",COCHERAS                 
2020-07-29,2019-02-22,34901200000,"225,58",REG VIVIENDA             
2020-07-29,2020-05-18, 00089B01400000  ,"158,16",CONS VIVIENDA            
2020-07-29,2020-06-9,7701800000,"210,33",CONS VIVIENDA            
2020-07-31,2020-01-28, 00444A01300000  ,"335,54",REG VIVIENDA             
2020-07-31,2020-03-6,94900600000,"110,5",REG AMP VIVIENDA         
2020-07-31,2020-06-18, 00134D01400000  ,"125,34",REG AMP VIVIENDA         
2020-08-3,2019-12-20,76501300000,"130,72",REG VIVIENDA             
2020-08-3,2020-05-29, 01261I00400000  ,"337,07",PISCINA                  
2020-08-3,2020-06-8, 00908F02300000  ,"159,32",CONS VIVIENDA            
2020-08-4,2020-02-4,45401300000,"212,59",AMP VIVIENDA             
2020-08-4,2020-05-20, 00089B01100000  ,"161,32",CONS VIVIENDA            
2020-08-4,2020-05-29,28401400000,"140,54",LOCAL COMERCIAL          
2020-08-5,2019-12-13, 01261I00200000  ,"244,35",REG AMP VIVIENDA         
2020-08-5,2020-06-11,32802200000,0,DEMOLICION TOTAL         
2020-08-6,2020-03-11,44904600000,"162,64",REG AMP VIVIENDA         
2020-08-6,2020-06-2,104501000000,"267,35",CONS VIVIENDA            
2020-08-6,2020-06-12,95901400000,"232,02",CONS VIVIENDA            
2020-08-6,2020-07-2,43803200000,"263,63",REFORMAS INTERNAS        
2020-08-7,2020-05-18,31200400000,"167,45",10M2  POR UNICA VEZ      
2020-08-11,2020-03-13,52102100000,"242,18",10M2  POR UNICA VEZ      
2020-08-11,2020-06-2,29302200000,0,DEMOLICION TOTAL         
2020-08-11,2020-06-19,89603000000,"211,43",CONS. AMP VIVIENDA       
2020-08-11,2020-07-3, 0930A200600000  ,"89,93",CONS VIVIENDA            
2020-08-12,2019-09-2, 00789A02700000  ,"84,9",CONS VIVIENDA            
2020-08-12,2019-10-7, P1301301800000  ,"467,89",REG VIVIENDA             
2020-08-12,2020-01-23,33101700000,0,DEMOLICION TOTAL         
2020-08-12,2020-05-21, 00143A01100000  ,"219,25",CONS. AMP VIVIENDA       
2020-08-12,2020-05-26,71401500000,"73,95",10M2  POR UNICA VEZ      
2020-08-12,2020-06-4,104602400000,"152,69",PISCINA                  
2020-08-12,2020-06-29,99401100000,"104,97",CONS. AMP VIVIENDA       
2020-08-14,2020-06-9,96400600000,"134,32",AMP VIVIENDA             
2020-08-14,2020-06-25,51702400000,"126,76",REG DEPOSITO             
2020-08-14,2020-06-29, 01072E02200000  ,"133,44",REG VIVIENDA             
2020-08-18,2020-07-3, 01073H02200000  ,"176,71",10M2  POR UNICA VEZ      
2020-08-19,2020-06-30,42900600000,"165,13",REG VIVIENDA             
2020-08-20,2020-05-29,45301400000,0,DEMOLICION TOTAL         
2020-08-20,2020-06-24, 00470A02400000  ,"207,87",CONFORME A OBRA          
2020-08-21,2020-01-2,53003900001,"305,2",CONS VIVIENDA            
2020-08-24,2017-04-7, 00081B01400000  ,"251,83",CONS. AMP VIVIENDA       
2020-08-24,2020-01-31,24102900000,"123,33",REG VIVIENDA             
2020-08-24,2020-06-26,65703200000,"196,76",DEMOLICION PARCIAL       
2020-08-28,2019-10-23,43600600000,"322,56",CONST OFICINAS           
2020-08-28,2019-11-26,22501900000,"395,54",DEPARTAMENTOS            
2020-08-28,2020-01-28,65301400000,"432,4",REG VIVIENDA             
2020-08-28,2020-02-3,68502300000,"288,98",CONS VIVIENDA            
2020-08-28,2020-06-3, 0103F200300000  ,"59,08",REG AMP VIVIENDA         
2020-08-31,2019-12-3,31301200000,"221,1",REG AMPLIACION           
2020-08-31,2020-03-3,55402100000,"101,78",PISCINA                  
2020-08-31,2020-05-21, 00953J00700000  ,"146,48",CONS. AMP VIVIENDA       
2020-09-1,2020-01-8,56802100000,"170,65",REG VIVIENDA             
2020-09-1,2020-03-10, P0400301500000  ,"335,6",REG VIVIENDA             
2020-09-1,2020-03-16, 00953C01100000  ,"84,74",REG VIVIENDA             
2020-09-1,2020-06-5,104204000000,"209,45",REG AMP VIVIENDA         
2020-09-2,2020-03-11, 01261H02000000  ,"278,52",CONS VIVIENDA            
2020-09-2,2020-05-19, 00089B01500000  ,"299,2",CONS VIVIENDA            
2020-09-2,2020-06-4,93303300000,120,COCHERAS                 
2020-09-2,  /  /  ,63501500000,"144,81",CONS. AMP VIVIENDA       
2020-09-3,2018-02-22, 00148D00900000  ,"128,27",REG VIVIENDA             
2020-09-3,2020-01-29, 00931S01000000  ,"186,9",REG AMP VIVIENDA         
2020-09-3,2020-02-19,61801100000,0,DEMOLICION TOTAL         
2020-09-3,2020-05-29,28903000000,"168,45",AMP VIVIENDA             
2020-09-3,2020-06-9,64402500000,"88,75",CONS. AMP VIVIENDA       
2020-09-3,2020-06-22,112401500000,"221,01",CONS DEPOSITO            
2020-09-3,2020-06-25,60403400000,168,DEMOLICION TOTAL         
2020-09-3,2020-07-2,49602100000,"235,02",CONS VIVIENDA            
2020-09-3,2020-07-14,32202900000,"202,21",RELEVAMIENTO             
2020-09-4,2020-01-10, P1302302000000  ,"3227,63",OFICINA-DEPOSITO         
