genero,nivel,institucion,año_en_curso,carrera
Masculino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Segundo año,Tec. Sup. En desarrollo de software
Femenino,Universitario,UCEL (Universidad del Centro Educativo Latinoamericano),Primer año,Derecho
Femenino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Séptimo grado,No corresponde
Femenino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Segundo año,Prof. de Nivel Inicial
Masculino,Secundario,"E.E.S. ORIENTADA PART. INC. NRO 8032 ""SANTA ROSA""",Cuarto año,No corresponde
Masculino,Universitario,UGR (Universidad del Gran Rosario),Tercer grado,Lic. en Kinesiología y Fisiatría
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Universitario,UGR (Universidad del Gran Rosario),Quinto año,Lic. en Kinesiología y Fisiatría
Femenino,Secundario,"E.E.S.O. PART. INC. NRO. 3095 ""CULTURA INGLESA""",Segundo año,No corresponde
Femenino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Segundo año,Prof. de Artes Visuales con Orientación en Producción
Femenino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Séptimo grado,No corresponde
Masculino,Primario,"ESCUELA NRO 789 """"ALMAFUERTE""",Segundo grado,No corresponde
Masculino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Tercer año,Coordinador y Técnico en Turismo
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Quinto año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Tercer año,No corresponde
Femenino,Universitario,UCEL (Universidad del Centro Educativo Latinoamericano),Quinto año,Derecho
Masculino,Primario,"ESCUELA NRO 1191 ""BOMBEROS VOLUNTARIOS""",Quinto grado,No corresponde
Masculino,Primario,"ESCUELA PART. INC. NRO 1280 ""DANTE ALIGHIERI""",Quinto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Segundo año,No corresponde
Femenino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Primer año,"Prof. de Nivel Inicial, E.G.B. y polimodal en Educación Física"
Masculino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Segundo año,Tec. Sup. en Desarrollo de Software
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Segundo año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Quinto año,No corresponde
Masculino,Primario,"ESCUELA CRISTIANA EVANGELICA ""NUEVA VIDA""",Segundo grado,No corresponde
Femenino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Séptimo grado,No corresponde
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Tercer año,Lic. en Recursos Humanos
Masculino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Cuarto año,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Cuarto año,Lic. en Psicología
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Quinto año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Quinto grado,No corresponde
Masculino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Primer año,Lic. en Comercio Exterior
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 1295 ""DE LOS CIEN AÑOS""",Sexto grado,No corresponde
Femenino,Universitario,UCASAL (Universidad Católica de Salta),Primer año,Lic. en Comercio Exterior
Femenino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Cuarto año,Prof. de Inglés
Masculino,Universitario,SIGLO XXI (Universidad Siglo XXI),Cuarto año,Contador Público
Femenino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Séptimo grado,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Tercer año,Lic. en Psicología
Femenino,Universitario,UTN (Universidad Tecnológica Nacional),Tercer año,Ing. en Sistemas de Información
Femenino,Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Quinto grado,No corresponde
Masculino,Primario,"ESCUELA NRO 1325 ""JOSE VICENTE CIBELLI""",Sexto grado,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Comercio Exterior
Femenino,Secundario p/ adultos,"E.E.S. ORIENTADA NRO. 238 ""DR. RICARDO TORRES BLANCO""",,No corresponde
Masculino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Tercer año,Lic. en Comercio Exterior
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Segundo año,No corresponde
Masculino,Terciario,"Inst. Superior Part. Nro. 4058 ""Dante Alighieri""",,"Tec. Sup. en Seguridad, Higiene y Medio Ambiente en el Trabajo"
Femenino,Primario,"ESCUELA NRO 1189 ""CARLOS JAVIER BENIELLI""",Sexto grado,No corresponde
Masculino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Sexto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 6404 ""GENERAL MARTIN M. DE GUEMES""",Séptimo grado,No corresponde
Masculino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Segundo año,Lic. en Recursos Humanos
Masculino,Primario,"Esc. Primaria Part. Nro. 1329 ""Cultura Inglesa""",Tercer grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 1364 ""NATALIO DEL CARMEN PERILLO""",Quinto grado,No corresponde
Masculino,Universitario,UGR (Universidad del Gran Rosario),Quinto año,Lic. en Kinesiología y Fisiatría
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Sexto año,No corresponde
Femenino,Terciario,UTN (Universidad Tecnológica Nacional),Segundo año,Tec. Univ. en Radiología
Femenino,Terciario,UTN (Universidad Tecnológica Nacional),Segundo año,Tec. Univ. en Radiología
Femenino,Primario,"ESCUELA NRO 1201 ""F. ANTONIO RIZZUTO""",Séptimo grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Primer año,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Segundo año,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Cuarto año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Primer año,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Segundo año,No corresponde
Masculino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Cuarto grado,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Quinto año,Lic. en Psicología
Femenino,Universitario,UNR (Universidad Nacional de Rosario),Primer año,Contador Público
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Quinto año,No corresponde
Masculino,Primario,"ESCUELA NRO 1295 ""DE LOS CIEN AÑOS""",Quinto grado,No corresponde
Masculino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Cuarto año,No corresponde
Masculino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Tercer año,No corresponde
Femenino,Universitario,UCEL (Universidad del Centro Educativo Latinoamericano),Segundo año,Derecho
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",,No corresponde
Masculino,Primario,"ESCUELA NRO 1189 ""CARLOS JAVIER BENIELLI""",Segundo grado,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Secundario,"E.E.S. Orientada Part. Inc. Nro. 2065 ""Taller de Nazareth""",Quinto año,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Tercer año,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Segundo año,Lic. en Psicología
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Segundo año,No corresponde
Femenino,Primario,"ESCUELA NRO 6391 ""ANTARTIDA ARGENTINA""",Sexto grado,No corresponde
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Cuarto año,No corresponde
Femenino,Secundario,"E.E.S.O. Part. Inc. Nro. 3081 ""Dante Alighieri""",Tercer año,No corresponde
Femenino,Secundario,"E.E.S.O. Part. Inc. Nro. 3081 ""Dante Alighieri""",Tercer año,No corresponde
Masculino,Secundario,ESCUELA PROVINCIAL DE ARTE NRO 3,Quinto año,No corresponde
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Segundo año,No corresponde
Masculino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Sexto grado,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),,Lic. en Psicología
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Primer año,No corresponde
Femenino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Cuarto grado,No corresponde
Femenino,Universitario,UCEL (Universidad del Centro Educativo Latinoamericano),Segundo año,Derecho
Femenino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Cuarto grado,No corresponde
Masculino,Universitario,UGR (Universidad del Gran Rosario),,Lic. en Kinesiología y Fisiatría
Femenino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Primer año,Prof. de Educación Inicial
Femenino,Universitario,UCES (Universidad de Ciencias Empresariales y Sociales),Tercer año,Lic. en Comercio Exterior
Femenino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Segundo año,Tec. Sup. en Enfermería
Masculino,Universitario,UTN (Universidad Tecnológica Nacional),Segundo año,Ingenieria civil
Femenino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Segundo año,No corresponde
Masculino,Secundario,"E.E.S. ORIENTADA NRO 584 ""DR. RAUL RICARDO ALFONSIN""",Tercer año,No corresponde
Femenino,Universitario,UGR (Universidad del Gran Rosario),,Lic. en Kinesiología y Fisiatría
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 483 ""EL INDUSTRIAL""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Cuarto grado,No corresponde
Masculino,Primario,"ESCUELA NRO 968 ""EDUARDO CASEY""",Sexto grado,No corresponde
Masculino,Primario,"ESCUELA NRO 496 ""MARIANO MORENO""",Sexto grado,No corresponde
Femenino,Primario,"ESCUELA NRO 496 ""MARIANO MORENO""",Primer año,No corresponde
Femenino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 402 ""MANUEL BELGRANO""",Primer año,No corresponde
Femenino,Primario,"ESCUELA NRO 1364 ""NATALIO DEL CARMEN PERILLO""",Primer año,No corresponde
Femenino,Primario,"ESCUELA NRO 1364 ""NATALIO DEL CARMEN PERILLO""",Cuarto grado,No corresponde
Masculino,Secundario,"E.E. TÉCNICO PROFESIONAL NRO 602 ""GENERAL SAN MARTÍN""",Quinto año,No corresponde
Femenino,Secundario,"E.E.S.O. Part. Inc. Nro. 3081 ""Dante Alighieri""",Segundo año,No corresponde
Masculino,Primario,"ESCUELA PART. INC. NRO 1280 ""DANTE ALIGHIERI""",Tercer grado,No corresponde
Masculino,Primario,"ESCUELA NRO 498 ""BERNARDINO RIVADAVIA""",Cuarto grado,No corresponde
Femenino,Secundario,"ESC. ORIENT. PART. INC. NRO. 2065 ""TALLER DE NAZARETH""",Cuarto año,No corresponde
Masculino,Terciario,"ICES (Inst.Sup. Part. Nro. 9145 ""Católico de Enseñanza Superior""",Cuarto año,"Prof. de Nivel Inicial, E.G.B. y polimodal en Educación Física"
Femenino,Terciario,"Inst. Superior Part. Nro. 4058 ""Dante Alighieri""",Segundo año,Tec. Sup. en Gestion de las Organizaciones
Femenino,Terciario,"IES NRO 7 (Inst. Superior Nro. 7 ""Brigadier E. López"")",Primer año,Prof. de Educación Sup. en Ciencias de la Educación
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Primer año,No corresponde
Femenino,Universitario,IUNIR (Inst. Universitario Italiano de Rosario),Quinto año,Lic. en Psicología
Masculino,Primario,"ESCUELA NRO 6404 ""GENERAL MARTIN M. DE GUEMES""",Séptimo grado,No corresponde
Femenino,Universitario,UGR (Universidad del Gran Rosario),Segundo año,Lic. en Kinesiología y Fisiatría
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Cuarto año,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 446 ""JUAN BAUTISTA ALBERDI""",Tercer año,No corresponde
Femenino,Primario,"ESCUELA NRO 540 ""DOMINGO FAUSTINO SARMIENTO""",Quinto grado,No corresponde
Femenino,Secundario,"E.E.S. ORIENTADA NRO 206 ""ROSA TURNER DE ESTRUGAMOU""",Segundo año,No corresponde
Femenino,Primario,"ESCUELA NRO 1248 ""ROSA TURNER DE ESTRUGAMOU""",Quinto grado,No corresponde
Femenino,Terciario,ESCUELA SUPERIOR DE ENFERMERÍA,Tercer año,Tec. Sup. en Enfermería
