genero,capacitación,año
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
F,Operario de Planta Semillera,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Conducción Segura en Autoelevadores,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
M,Automatización Industrial,2023
F,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
F,Tractorista,2023
F,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
M,Tractorista,2023
F,Tractorista,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
M,Excel Inicial,2023
M,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Excel Inicial,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
F,Operador de Torno CNC,2023
M,Operador de Torno CNC,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
M,Electricidad del Automotor,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
F,Club de Chicas Programadoras,2023
