genero,capacitación,año
F,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
M,EXCEL,2021
F,EXCEL,2021
F,EXCEL,2021
M,SOLID WORKS,2021
M,SOLID WORKS,2021
M,SOLID WORKS,2021
M,SOLID WORKS,2021
M,SOLID WORKS,2021
F,SOLID WORKS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
F,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
F,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
M,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
F,CONSTRUCCIÓN EN SECO COLOR PLUS,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
M,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
F,OPERARIO DE CAMPO,2021
