año,tipo_obra,dirección,altura,barrio
2023,Centro bocacalle,"MARTI, JOSE (EX CALLE 16)",1400,
2023,Centro bocacalle,"MARTI, JOSE (EX CALLE 16)",800,
2023,Bocacalle,BELGRANO,700,Centro 1
2023,Bocacalle,MONTEAGUDO,1300,Rivadavia
2023,Aleta,PASAJE LA VICTORIA (BROWN AL 1950),1300,Rivadavia
2023,Bocacalle,PAZ,1300,Rivadavia
2023,Aleta,PAVON,800,Iturbide
2023,Bocacalle,COLON,2100,Rivadavia
2023,Bocacalle,"GARBARINO, CARLOS (EX CALLE 106)",0,Rivadavia
2023,Aleta,RIO DE LA PLATA,200,Cayetano Silva
2023,Bocacalle,ITUZAINGO,800,Victoria
2023,Bocacalle,FORMOSA,0,Güemes
2023,Bocacalle,"MARTI, JOSE (EX CALLE 16)",0,
2023,Bocacalle,FORMOSA,100,Güemes
2023,Centro bocacalle,PASAJE PERU (FALUCHO AL 850),200,Iturbide
2023,Aleta,"AZCOAGA, FERNANDO (EX CALLE 21)",900,San Vicente
2023,Aleta,"PASAJE JORGE ABRAHAM (BERTI, COVACEVICH, ETERIVICH AL 150)",1500,Iturbide
2023,Aleta,"CHAPUIS, DR. LUIS (PAR)",3600,Villa Casey
2023,Bocacalle,PIACENZA,1600,San José Obrero
2023,Bocacalle,LEONCIO DE LA BARRERA,1600,San José Obrero
2023,Aleta,LEONCIO DE LA BARRERA,1700,San José Obrero
