id_beneficiario,condicion_sorteo,tipo_sorteo,edad_titular_inscripcion,genero_titular_inscripcion,situacion_habitacional,cantidad_integrantes_grupo_familiar,integrantes_grupo_familiar_masculino,integrantes_grupo_familiar_femenino
3307,SUPLENTE,INDIVIDUAL - GENERAL,37,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3311,TITULAR,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3324,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,55,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,6,1,5
3335,SUPLENTE,FAMILIAR - GENERAL,23,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
3354,SUPLENTE,FAMILIAR - GENERAL,28,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
3370,SUPLENTE,INDIVIDUAL - GENERAL,46,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3425,TITULAR,INDIVIDUAL - GENERAL,36,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3433,SUPLENTE,FAMILIAR - GENERAL,37,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,4,2,2
3459,TITULAR,INDIVIDUAL - GENERAL,20,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3476,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,55,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3489,SUPLENTE,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,3,1,2
3493,TITULAR,FAMILIAR - GENERAL,35,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,5,3,2
3517,SUPLENTE,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
3552,TITULAR,FAMILIAR - GENERAL,36,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
3564,TITULAR,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD ALQUILADA,1,0,1
3577,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,59,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
3582,SUPLENTE,FAMILIAR - GENERAL,45,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,0,1
3628,SUPLENTE,INDIVIDUAL - GENERAL,24,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3637,TITULAR,INDIVIDUAL - GENERAL,31,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3661,TITULAR,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD ALQUILADA,2,1,1
3730,SUPLENTE,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
3733,SUPLENTE,INDIVIDUAL - GENERAL,52,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3767,SUPLENTE,FAMILIAR - GENERAL,31,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,0,2
3776,SUPLENTE,INDIVIDUAL - CUPO PERSONA CON DISCAPACIDAD,20,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
3825,TITULAR,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
3827,TITULAR,FAMILIAR - GENERAL,37,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
3845,SUPLENTE,FAMILIAR - GENERAL,52,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
3858,SUPLENTE,FAMILIAR - GENERAL,40,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
3877,TITULAR,INDIVIDUAL - GENERAL,36,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3898,SUPLENTE,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
3899,TITULAR,FAMILIAR - GENERAL,28,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3908,SUPLENTE,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
3917,TITULAR,FAMILIAR - GENERAL,67,MASCULINO,PROPIEDAD ALQUILADA,1,1,0
3938,SUPLENTE,INDIVIDUAL - GENERAL,46,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
3967,TITULAR,FAMILIAR - GENERAL,NA,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,3,1,2
3991,TITULAR,FAMILIAR - GENERAL,46,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4002,TITULAR,INDIVIDUAL - GENERAL,20,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4007,TITULAR,FAMILIAR - GENERAL,27,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
4012,TITULAR,FAMILIAR - GENERAL,38,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
4015,TITULAR,FAMILIAR - GENERAL,36,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,4,3,1
4035,TITULAR,FAMILIAR - GENERAL,40,MASCULINO,PROPIEDAD ALQUILADA,4,2,2
4041,TITULAR,FAMILIAR - GENERAL,32,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
4056,SUPLENTE,INDIVIDUAL - GENERAL,25,FEMENINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4077,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,64,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,1,1,0
4080,SUPLENTE,FAMILIAR - GENERAL,23,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,1,1
4109,SUPLENTE,INDIVIDUAL - GENERAL,33,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,NO_APLICA,NO_APLICA,NO_APLICA
4167,TITULAR,FAMILIAR - GENERAL,30,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,3,2,1
4182,TITULAR,INDIVIDUAL - GENERAL,49,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4187,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,49,MASCULINO,PROPIEDAD ALQUILADA,3,0,3
4198,SUPLENTE,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
4202,TITULAR,FAMILIAR - GENERAL,39,FEMENINO,PROPIEDAD ALQUILADA,2,1,1
4203,TITULAR,FAMILIAR - GENERAL,46,MASCULINO,PROPIEDAD PRESTADA O CEDIDA,2,0,2
4237,SUPLENTE,FAMILIAR - GENERAL,30,FEMENINO,PROPIEDAD ALQUILADA,3,1,2
4245,TITULAR,FAMILIAR - GENERAL,66,MASCULINO,PROPIEDAD OCUPADA DE HECHO,1,1,0
4266,TITULAR,FAMILIAR - GENERAL,36,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
4274,TITULAR,FAMILIAR - GENERAL,27,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,0,1
4289,TITULAR,INDIVIDUAL - GENERAL,35,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4303,SUPLENTE,FAMILIAR - GENERAL,38,MASCULINO,PROPIEDAD ALQUILADA,3,1,2
4311,TITULAR,FAMILIAR - GENERAL,34,FEMENINO,PROPIEDAD ALQUILADA,4,2,2
4320,SUPLENTE,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,28,FEMENINO,PROPIEDAD ALQUILADA,2,2,0
4324,TITULAR,INDIVIDUAL - GENERAL,57,MASCULINO,PROPIEDAD ALQUILADA,NO_APLICA,NO_APLICA,NO_APLICA
4332,TITULAR,FAMILIAR - CUPO PERSONA CON DISCAPACIDAD,36,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,1,1,0
4348,SUPLENTE,INDIVIDUAL - GENERAL,61,FEMENINO,PROPIEDAD PRESTADA O CEDIDA,NO_APLICA,NO_APLICA,NO_APLICA
4359,SUPLENTE,FAMILIAR - GENERAL,33,FEMENINO,PROPIEDAD ALQUILADA,1,1,0
4378,TITULAR,FAMILIAR - GENERAL,34,MASCULINO,PROPIEDAD ALQUILADA,4,0,4
4417,TITULAR,FAMILIAR - GENERAL,22,FEMENINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,1,1
4418,SUPLENTE,FAMILIAR - GENERAL,25,MASCULINO,PROPIEDAD COMPARTIDA CON FAMILIA U OTROS,2,0,2
